Date,Confirmed
2020-01-22,1
2020-01-23,9
2020-01-24,15
2020-01-25,39
2020-01-26,60
2020-01-27,70
2020-01-28,106
2020-01-29,152
2020-01-30,200
2020-01-31,237
2020-02-01,297
2020-02-02,340
2020-02-03,408
2020-02-04,480
2020-02-05,530
2020-02-06,591
2020-02-07,665
2020-02-08,733
2020-02-09,779
2020-02-10,830
2020-02-11,860
2020-02-12,889
2020-02-13,910
2020-02-14,934
2020-02-15,950
2020-02-16,962
2020-02-17,973
2020-02-18,982
2020-02-19,986
2020-02-20,987
2020-02-21,988
2020-02-22,989
2020-02-23,989
2020-02-24,989
2020-02-25,989
2020-02-26,989
2020-02-27,989
2020-02-28,990
2020-02-29,990
2020-03-01,990
2020-03-02,990
2020-03-03,990
2020-03-04,990
2020-03-05,990
2020-03-06,990
2020-03-07,990
2020-03-08,990
2020-03-09,990
2020-01-22,14
2020-01-23,22
2020-01-24,36
2020-01-25,41
2020-01-26,68
2020-01-27,80
2020-01-28,91
2020-01-29,111
2020-01-30,114
2020-01-31,139
2020-02-01,168
2020-02-02,191
2020-02-03,212
2020-02-04,228
2020-02-05,253
2020-02-06,274
2020-02-07,297
2020-02-08,315
2020-02-09,326
2020-02-10,337
2020-02-11,342
2020-02-12,352
2020-02-13,366
2020-02-14,372
2020-02-15,375
2020-02-16,380
2020-02-17,381
2020-02-18,387
2020-02-19,393
2020-02-20,395
2020-02-21,396
2020-02-22,399
2020-02-23,399
2020-02-24,399
2020-02-25,400
2020-02-26,400
2020-02-27,410
2020-02-28,410
2020-02-29,411
2020-03-01,413
2020-03-02,414
2020-03-03,414
2020-03-04,418
2020-03-05,418
2020-03-06,422
2020-03-07,426
2020-03-08,428
2020-03-09,428
2020-01-22,6
2020-01-23,9
2020-01-24,27
2020-01-25,57
2020-01-26,75
2020-01-27,110
2020-01-28,132
2020-01-29,147
2020-01-30,182
2020-01-31,211
2020-02-01,247
2020-02-02,300
2020-02-03,337
2020-02-04,366
2020-02-05,389
2020-02-06,411
2020-02-07,426
2020-02-08,428
2020-02-09,468
2020-02-10,486
2020-02-11,505
2020-02-12,518
2020-02-13,529
2020-02-14,537
2020-02-15,544
2020-02-16,551
2020-02-17,553
2020-02-18,555
2020-02-19,560
2020-02-20,567
2020-02-21,572
2020-02-22,573
2020-02-23,575
2020-02-24,576
2020-02-25,576
2020-02-26,576
2020-02-27,576
2020-02-28,576
2020-02-29,576
2020-03-01,576
2020-03-02,576
2020-03-03,576
2020-03-04,576
2020-03-05,576
2020-03-06,576
2020-03-07,576
2020-03-08,576
2020-03-09,576
2020-01-22,1
2020-01-23,5
2020-01-24,10
2020-01-25,18
2020-01-26,35
2020-01-27,59
2020-01-28,80
2020-01-29,84
2020-01-30,101
2020-01-31,120
2020-02-01,144
2020-02-02,159
2020-02-03,179
2020-02-04,194
2020-02-05,205
2020-02-06,215
2020-02-07,224
2020-02-08,239
2020-02-09,250
2020-02-10,261
2020-02-11,267
2020-02-12,272
2020-02-13,279
2020-02-14,281
2020-02-15,285
2020-02-16,287
2020-02-17,290
2020-02-18,292
2020-02-19,293
2020-02-20,293
2020-02-21,293
2020-02-22,293
2020-02-23,293
2020-02-24,293
2020-02-25,294
2020-02-26,294
2020-02-27,296
2020-02-28,296
2020-02-29,296
2020-03-01,296
2020-03-02,296
2020-03-03,296
2020-03-04,296
2020-03-05,296
2020-03-06,296
2020-03-07,296
2020-03-08,296
2020-03-09,296
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,4
2020-01-26,7
2020-01-27,14
2020-01-28,19
2020-01-29,24
2020-01-30,26
2020-01-31,29
2020-02-01,40
2020-02-02,51
2020-02-03,55
2020-02-04,57
2020-02-05,62
2020-02-06,62
2020-02-07,67
2020-02-08,79
2020-02-09,83
2020-02-10,83
2020-02-11,86
2020-02-12,87
2020-02-13,90
2020-02-14,90
2020-02-15,90
2020-02-16,90
2020-02-17,91
2020-02-18,91
2020-02-19,91
2020-02-20,91
2020-02-21,91
2020-02-22,91
2020-02-23,91
2020-02-24,91
2020-02-25,91
2020-02-26,91
2020-02-27,91
2020-02-28,91
2020-02-29,91
2020-03-01,91
2020-03-02,91
2020-03-03,91
2020-03-04,91
2020-03-05,102
2020-03-06,119
2020-03-07,120
2020-03-08,124
2020-03-09,124
2020-01-22,26
2020-01-23,32
2020-01-24,53
2020-01-25,78
2020-01-26,111
2020-01-27,151
2020-01-28,207
2020-01-29,277
2020-01-30,354
2020-01-31,436
2020-02-01,535
2020-02-02,632
2020-02-03,725
2020-02-04,813
2020-02-05,895
2020-02-06,970
2020-02-07,1034
2020-02-08,1095
2020-02-09,1131
2020-02-10,1159
2020-02-11,1177
2020-02-12,1219
2020-02-13,1241
2020-02-14,1261
2020-02-15,1294
2020-02-16,1316
2020-02-17,1322
2020-02-18,1328
2020-02-19,1331
2020-02-20,1332
2020-02-21,1333
2020-02-22,1339
2020-02-23,1342
2020-02-24,1345
2020-02-25,1347
2020-02-26,1347
2020-02-27,1347
2020-02-28,1348
2020-02-29,1349
2020-03-01,1349
2020-03-02,1350
2020-03-03,1350
2020-03-04,1350
2020-03-05,1351
2020-03-06,1352
2020-03-07,1352
2020-03-08,1352
2020-03-09,1352
2020-01-22,2
2020-01-23,5
2020-01-24,23
2020-01-25,23
2020-01-26,36
2020-01-27,46
2020-01-28,51
2020-01-29,58
2020-01-30,78
2020-01-31,87
2020-02-01,100
2020-02-02,111
2020-02-03,127
2020-02-04,139
2020-02-05,150
2020-02-06,168
2020-02-07,172
2020-02-08,183
2020-02-09,195
2020-02-10,210
2020-02-11,215
2020-02-12,222
2020-02-13,222
2020-02-14,226
2020-02-15,235
2020-02-16,237
2020-02-17,238
2020-02-18,242
2020-02-19,244
2020-02-20,245
2020-02-21,246
2020-02-22,249
2020-02-23,249
2020-02-24,251
2020-02-25,252
2020-02-26,252
2020-02-27,252
2020-02-28,252
2020-02-29,252
2020-03-01,252
2020-03-02,252
2020-03-03,252
2020-03-04,252
2020-03-05,252
2020-03-06,252
2020-03-07,252
2020-03-08,252
2020-03-09,252
2020-01-22,1
2020-01-23,3
2020-01-24,3
2020-01-25,4
2020-01-26,5
2020-01-27,7
2020-01-28,9
2020-01-29,9
2020-01-30,12
2020-01-31,29
2020-02-01,29
2020-02-02,38
2020-02-03,46
2020-02-04,58
2020-02-05,64
2020-02-06,71
2020-02-07,81
2020-02-08,89
2020-02-09,99
2020-02-10,109
2020-02-11,127
2020-02-12,133
2020-02-13,135
2020-02-14,140
2020-02-15,143
2020-02-16,144
2020-02-17,146
2020-02-18,146
2020-02-19,146
2020-02-20,146
2020-02-21,146
2020-02-22,146
2020-02-23,146
2020-02-24,146
2020-02-25,146
2020-02-26,146
2020-02-27,146
2020-02-28,146
2020-02-29,146
2020-03-01,146
2020-03-02,146
2020-03-03,146
2020-03-04,146
2020-03-05,146
2020-03-06,146
2020-03-07,146
2020-03-08,146
2020-03-09,146
2020-01-22,4
2020-01-23,5
2020-01-24,8
2020-01-25,19
2020-01-26,22
2020-01-27,33
2020-01-28,40
2020-01-29,43
2020-01-30,46
2020-01-31,52
2020-02-01,62
2020-02-02,64
2020-02-03,72
2020-02-04,80
2020-02-05,99
2020-02-06,106
2020-02-07,117
2020-02-08,124
2020-02-09,131
2020-02-10,138
2020-02-11,144
2020-02-12,157
2020-02-13,157
2020-02-14,159
2020-02-15,162
2020-02-16,162
2020-02-17,163
2020-02-18,163
2020-02-19,168
2020-02-20,168
2020-02-21,168
2020-02-22,168
2020-02-23,168
2020-02-24,168
2020-02-25,168
2020-02-26,168
2020-02-27,168
2020-02-28,168
2020-02-29,168
2020-03-01,168
2020-03-02,168
2020-03-03,168
2020-03-04,168
2020-03-05,168
2020-03-06,168
2020-03-07,168
2020-03-08,168
2020-03-09,168
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,8
2020-01-26,13
2020-01-27,18
2020-01-28,33
2020-01-29,48
2020-01-30,65
2020-01-31,82
2020-02-01,96
2020-02-02,104
2020-02-03,113
2020-02-04,126
2020-02-05,135
2020-02-06,157
2020-02-07,172
2020-02-08,195
2020-02-09,206
2020-02-10,218
2020-02-11,239
2020-02-12,251
2020-02-13,265
2020-02-14,283
2020-02-15,291
2020-02-16,300
2020-02-17,301
2020-02-18,306
2020-02-19,306
2020-02-20,307
2020-02-21,308
2020-02-22,309
2020-02-23,311
2020-02-24,311
2020-02-25,311
2020-02-26,312
2020-02-27,317
2020-02-28,318
2020-02-29,318
2020-03-01,318
2020-03-02,318
2020-03-03,318
2020-03-04,318
2020-03-05,318
2020-03-06,318
2020-03-07,318
2020-03-08,318
2020-03-09,318
2020-01-22,0
2020-01-23,2
2020-01-24,4
2020-01-25,9
2020-01-26,15
2020-01-27,21
2020-01-28,33
2020-01-29,38
2020-01-30,44
2020-01-31,59
2020-02-01,80
2020-02-02,95
2020-02-03,121
2020-02-04,155
2020-02-05,190
2020-02-06,227
2020-02-07,277
2020-02-08,295
2020-02-09,307
2020-02-10,331
2020-02-11,360
2020-02-12,378
2020-02-13,395
2020-02-14,419
2020-02-15,425
2020-02-16,445
2020-02-17,457
2020-02-18,464
2020-02-19,470
2020-02-20,476
2020-02-21,479
2020-02-22,479
2020-02-23,480
2020-02-24,480
2020-02-25,480
2020-02-26,480
2020-02-27,480
2020-02-28,480
2020-02-29,480
2020-03-01,480
2020-03-02,480
2020-03-03,480
2020-03-04,480
2020-03-05,481
2020-03-06,481
2020-03-07,481
2020-03-08,481
2020-03-09,481
2020-01-22,5
2020-01-23,5
2020-01-24,9
2020-01-25,32
2020-01-26,83
2020-01-27,128
2020-01-28,168
2020-01-29,206
2020-01-30,278
2020-01-31,352
2020-02-01,422
2020-02-02,493
2020-02-03,566
2020-02-04,675
2020-02-05,764
2020-02-06,851
2020-02-07,914
2020-02-08,981
2020-02-09,1033
2020-02-10,1073
2020-02-11,1105
2020-02-12,1135
2020-02-13,1169
2020-02-14,1184
2020-02-15,1212
2020-02-16,1231
2020-02-17,1246
2020-02-18,1257
2020-02-19,1262
2020-02-20,1265
2020-02-21,1267
2020-02-22,1270
2020-02-23,1271
2020-02-24,1271
2020-02-25,1271
2020-02-26,1271
2020-02-27,1272
2020-02-28,1272
2020-02-29,1272
2020-03-01,1272
2020-03-02,1272
2020-03-03,1272
2020-03-04,1272
2020-03-05,1272
2020-03-06,1272
2020-03-07,1272
2020-03-08,1272
2020-03-09,1272
2020-01-22,444
2020-01-23,444
2020-01-24,549
2020-01-25,761
2020-01-26,1058
2020-01-27,1423
2020-01-28,3554
2020-01-29,3554
2020-01-30,4903
2020-01-31,5806
2020-02-01,7153
2020-02-02,11177
2020-02-03,13522
2020-02-04,16678
2020-02-05,19665
2020-02-06,22112
2020-02-07,24953
2020-02-08,27100
2020-02-09,29631
2020-02-10,31728
2020-02-11,33366
2020-02-12,33366
2020-02-13,48206
2020-02-14,54406
2020-02-15,56249
2020-02-16,58182
2020-02-17,59989
2020-02-18,61682
2020-02-19,62031
2020-02-20,62442
2020-02-21,62662
2020-02-22,64084
2020-02-23,64084
2020-02-24,64287
2020-02-25,64786
2020-02-26,65187
2020-02-27,65596
2020-02-28,65914
2020-02-29,66337
2020-03-01,66907
2020-03-02,67103
2020-03-03,67217
2020-03-04,67332
2020-03-05,67466
2020-03-06,67592
2020-03-07,67666
2020-03-08,67707
2020-03-09,67743
2020-01-22,4
2020-01-23,9
2020-01-24,24
2020-01-25,43
2020-01-26,69
2020-01-27,100
2020-01-28,143
2020-01-29,221
2020-01-30,277
2020-01-31,332
2020-02-01,389
2020-02-02,463
2020-02-03,521
2020-02-04,593
2020-02-05,661
2020-02-06,711
2020-02-07,772
2020-02-08,803
2020-02-09,838
2020-02-10,879
2020-02-11,912
2020-02-12,946
2020-02-13,968
2020-02-14,988
2020-02-15,1001
2020-02-16,1004
2020-02-17,1006
2020-02-18,1007
2020-02-19,1008
2020-02-20,1010
2020-02-21,1011
2020-02-22,1013
2020-02-23,1016
2020-02-24,1016
2020-02-25,1016
2020-02-26,1016
2020-02-27,1017
2020-02-28,1017
2020-02-29,1018
2020-03-01,1018
2020-03-02,1018
2020-03-03,1018
2020-03-04,1018
2020-03-05,1018
2020-03-06,1018
2020-03-07,1018
2020-03-08,1018
2020-03-09,1018
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,7
2020-01-26,7
2020-01-27,11
2020-01-28,15
2020-01-29,16
2020-01-30,19
2020-01-31,20
2020-02-01,23
2020-02-02,27
2020-02-03,34
2020-02-04,35
2020-02-05,42
2020-02-06,46
2020-02-07,50
2020-02-08,52
2020-02-09,54
2020-02-10,58
2020-02-11,58
2020-02-12,60
2020-02-13,61
2020-02-14,65
2020-02-15,68
2020-02-16,70
2020-02-17,72
2020-02-18,73
2020-02-19,75
2020-02-20,75
2020-02-21,75
2020-02-22,75
2020-02-23,75
2020-02-24,75
2020-02-25,75
2020-02-26,75
2020-02-27,75
2020-02-28,75
2020-02-29,75
2020-03-01,75
2020-03-02,75
2020-03-03,75
2020-03-04,75
2020-03-05,75
2020-03-06,75
2020-03-07,75
2020-03-08,75
2020-03-09,75
2020-01-22,1
2020-01-23,5
2020-01-24,9
2020-01-25,18
2020-01-26,33
2020-01-27,47
2020-01-28,70
2020-01-29,99
2020-01-30,129
2020-01-31,168
2020-02-01,202
2020-02-02,236
2020-02-03,271
2020-02-04,308
2020-02-05,341
2020-02-06,373
2020-02-07,408
2020-02-08,439
2020-02-09,468
2020-02-10,492
2020-02-11,515
2020-02-12,543
2020-02-13,570
2020-02-14,593
2020-02-15,604
2020-02-16,617
2020-02-17,626
2020-02-18,629
2020-02-19,631
2020-02-20,631
2020-02-21,631
2020-02-22,631
2020-02-23,631
2020-02-24,631
2020-02-25,631
2020-02-26,631
2020-02-27,631
2020-02-28,631
2020-02-29,631
2020-03-01,631
2020-03-02,631
2020-03-03,631
2020-03-04,631
2020-03-05,631
2020-03-06,631
2020-03-07,631
2020-03-08,631
2020-03-09,631
2020-01-22,2
2020-01-23,7
2020-01-24,18
2020-01-25,18
2020-01-26,36
2020-01-27,72
2020-01-28,109
2020-01-29,109
2020-01-30,162
2020-01-31,240
2020-02-01,286
2020-02-02,333
2020-02-03,391
2020-02-04,476
2020-02-05,548
2020-02-06,600
2020-02-07,661
2020-02-08,698
2020-02-09,740
2020-02-10,771
2020-02-11,804
2020-02-12,844
2020-02-13,872
2020-02-14,900
2020-02-15,913
2020-02-16,925
2020-02-17,930
2020-02-18,933
2020-02-19,934
2020-02-20,934
2020-02-21,934
2020-02-22,934
2020-02-23,934
2020-02-24,934
2020-02-25,934
2020-02-26,934
2020-02-27,934
2020-02-28,935
2020-02-29,935
2020-03-01,935
2020-03-02,935
2020-03-03,935
2020-03-04,935
2020-03-05,935
2020-03-06,935
2020-03-07,935
2020-03-08,935
2020-03-09,935
2020-01-22,0
2020-01-23,1
2020-01-24,3
2020-01-25,4
2020-01-26,4
2020-01-27,6
2020-01-28,8
2020-01-29,9
2020-01-30,14
2020-01-31,14
2020-02-01,17
2020-02-02,23
2020-02-03,31
2020-02-04,42
2020-02-05,54
2020-02-06,59
2020-02-07,65
2020-02-08,69
2020-02-09,78
2020-02-10,80
2020-02-11,81
2020-02-12,83
2020-02-13,84
2020-02-14,86
2020-02-15,88
2020-02-16,89
2020-02-17,89
2020-02-18,89
2020-02-19,90
2020-02-20,91
2020-02-21,91
2020-02-22,91
2020-02-23,91
2020-02-24,93
2020-02-25,93
2020-02-26,93
2020-02-27,93
2020-02-28,93
2020-02-29,93
2020-03-01,93
2020-03-02,93
2020-03-03,93
2020-03-04,93
2020-03-05,93
2020-03-06,93
2020-03-07,93
2020-03-08,93
2020-03-09,93
2020-01-22,2
2020-01-23,3
2020-01-24,4
2020-01-25,17
2020-01-26,21
2020-01-27,27
2020-01-28,34
2020-01-29,39
2020-01-30,41
2020-01-31,48
2020-02-01,64
2020-02-02,70
2020-02-03,74
2020-02-04,81
2020-02-05,89
2020-02-06,94
2020-02-07,99
2020-02-08,105
2020-02-09,107
2020-02-10,108
2020-02-11,111
2020-02-12,116
2020-02-13,117
2020-02-14,119
2020-02-15,119
2020-02-16,121
2020-02-17,121
2020-02-18,121
2020-02-19,121
2020-02-20,121
2020-02-21,121
2020-02-22,121
2020-02-23,121
2020-02-24,121
2020-02-25,121
2020-02-26,121
2020-02-27,121
2020-02-28,121
2020-02-29,121
2020-03-01,122
2020-03-02,122
2020-03-03,125
2020-03-04,125
2020-03-05,125
2020-03-06,125
2020-03-07,125
2020-03-08,125
2020-03-09,125
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,7
2020-01-28,11
2020-01-29,12
2020-01-30,17
2020-01-31,21
2020-02-01,26
2020-02-02,28
2020-02-03,31
2020-02-04,34
2020-02-05,34
2020-02-06,40
2020-02-07,43
2020-02-08,45
2020-02-09,45
2020-02-10,49
2020-02-11,53
2020-02-12,58
2020-02-13,64
2020-02-14,67
2020-02-15,70
2020-02-16,70
2020-02-17,70
2020-02-18,70
2020-02-19,71
2020-02-20,71
2020-02-21,71
2020-02-22,71
2020-02-23,71
2020-02-24,71
2020-02-25,71
2020-02-26,71
2020-02-27,72
2020-02-28,72
2020-02-29,73
2020-03-01,73
2020-03-02,74
2020-03-03,74
2020-03-04,75
2020-03-05,75
2020-03-06,75
2020-03-07,75
2020-03-08,75
2020-03-09,75
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,1
2020-01-26,1
2020-01-27,6
2020-01-28,6
2020-01-29,6
2020-01-30,8
2020-01-31,8
2020-02-01,9
2020-02-02,11
2020-02-03,13
2020-02-04,15
2020-02-05,17
2020-02-06,18
2020-02-07,18
2020-02-08,18
2020-02-09,18
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,18
2020-02-14,18
2020-02-15,18
2020-02-16,18
2020-02-17,18
2020-02-18,18
2020-02-19,18
2020-02-20,18
2020-02-21,18
2020-02-22,18
2020-02-23,18
2020-02-24,18
2020-02-25,18
2020-02-26,18
2020-02-27,18
2020-02-28,18
2020-02-29,18
2020-03-01,18
2020-03-02,18
2020-03-03,18
2020-03-04,18
2020-03-05,18
2020-03-06,18
2020-03-07,18
2020-03-08,18
2020-03-09,18
2020-01-22,0
2020-01-23,3
2020-01-24,5
2020-01-25,15
2020-01-26,22
2020-01-27,35
2020-01-28,46
2020-01-29,56
2020-01-30,63
2020-01-31,87
2020-02-01,101
2020-02-02,116
2020-02-03,128
2020-02-04,142
2020-02-05,165
2020-02-06,173
2020-02-07,184
2020-02-08,195
2020-02-09,208
2020-02-10,213
2020-02-11,219
2020-02-12,225
2020-02-13,229
2020-02-14,230
2020-02-15,232
2020-02-16,236
2020-02-17,240
2020-02-18,240
2020-02-19,242
2020-02-20,245
2020-02-21,245
2020-02-22,245
2020-02-23,245
2020-02-24,245
2020-02-25,245
2020-02-26,245
2020-02-27,245
2020-02-28,245
2020-02-29,245
2020-03-01,245
2020-03-02,245
2020-03-03,245
2020-03-04,245
2020-03-05,245
2020-03-06,245
2020-03-07,245
2020-03-08,245
2020-03-09,245
2020-01-22,2
2020-01-23,6
2020-01-24,15
2020-01-25,27
2020-01-26,46
2020-01-27,75
2020-01-28,95
2020-01-29,130
2020-01-30,158
2020-01-31,184
2020-02-01,206
2020-02-02,230
2020-02-03,259
2020-02-04,275
2020-02-05,307
2020-02-06,347
2020-02-07,386
2020-02-08,416
2020-02-09,444
2020-02-10,466
2020-02-11,487
2020-02-12,497
2020-02-13,509
2020-02-14,523
2020-02-15,532
2020-02-16,537
2020-02-17,541
2020-02-18,543
2020-02-19,544
2020-02-20,546
2020-02-21,749
2020-02-22,750
2020-02-23,754
2020-02-24,755
2020-02-25,756
2020-02-26,756
2020-02-27,756
2020-02-28,756
2020-02-29,756
2020-03-01,758
2020-03-02,758
2020-03-03,758
2020-03-04,758
2020-03-05,758
2020-03-06,758
2020-03-07,758
2020-03-08,758
2020-03-09,758
2020-01-22,9
2020-01-23,16
2020-01-24,20
2020-01-25,33
2020-01-26,40
2020-01-27,53
2020-01-28,66
2020-01-29,96
2020-01-30,112
2020-01-31,135
2020-02-01,169
2020-02-02,182
2020-02-03,203
2020-02-04,219
2020-02-05,243
2020-02-06,257
2020-02-07,277
2020-02-08,286
2020-02-09,293
2020-02-10,299
2020-02-11,303
2020-02-12,311
2020-02-13,315
2020-02-14,318
2020-02-15,326
2020-02-16,328
2020-02-17,333
2020-02-18,333
2020-02-19,333
2020-02-20,334
2020-02-21,334
2020-02-22,335
2020-02-23,335
2020-02-24,335
2020-02-25,336
2020-02-26,337
2020-02-27,337
2020-02-28,337
2020-02-29,337
2020-03-01,337
2020-03-02,337
2020-03-03,338
2020-03-04,338
2020-03-05,339
2020-03-06,342
2020-03-07,342
2020-03-08,342
2020-03-09,342
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-25,6
2020-01-26,9
2020-01-27,13
2020-01-28,27
2020-01-29,27
2020-01-30,35
2020-01-31,39
2020-02-01,47
2020-02-02,66
2020-02-03,74
2020-02-04,81
2020-02-05,81
2020-02-06,96
2020-02-07,104
2020-02-08,115
2020-02-09,119
2020-02-10,119
2020-02-11,124
2020-02-12,126
2020-02-13,126
2020-02-14,127
2020-02-15,128
2020-02-16,129
2020-02-17,130
2020-02-18,131
2020-02-19,131
2020-02-20,132
2020-02-21,132
2020-02-22,132
2020-02-23,132
2020-02-24,133
2020-02-25,133
2020-02-26,133
2020-02-27,133
2020-02-28,133
2020-02-29,133
2020-03-01,133
2020-03-02,133
2020-03-03,133
2020-03-04,133
2020-03-05,133
2020-03-06,133
2020-03-07,133
2020-03-08,133
2020-03-09,133
2020-01-22,5
2020-01-23,8
2020-01-24,15
2020-01-25,28
2020-01-26,44
2020-01-27,69
2020-01-28,90
2020-01-29,108
2020-01-30,142
2020-01-31,177
2020-02-01,207
2020-02-02,231
2020-02-03,254
2020-02-04,282
2020-02-05,301
2020-02-06,321
2020-02-07,344
2020-02-08,364
2020-02-09,386
2020-02-10,405
2020-02-11,417
2020-02-12,436
2020-02-13,451
2020-02-14,463
2020-02-15,470
2020-02-16,481
2020-02-17,495
2020-02-18,508
2020-02-19,514
2020-02-20,520
2020-02-21,525
2020-02-22,526
2020-02-23,526
2020-02-24,527
2020-02-25,529
2020-02-26,531
2020-02-27,534
2020-02-28,538
2020-02-29,538
2020-03-01,538
2020-03-02,538
2020-03-03,538
2020-03-04,538
2020-03-05,539
2020-03-06,539
2020-03-07,539
2020-03-08,539
2020-03-09,539
2020-01-22,4
2020-01-23,4
2020-01-24,8
2020-01-25,10
2020-01-26,14
2020-01-27,23
2020-01-28,24
2020-01-29,27
2020-01-30,31
2020-01-31,32
2020-02-01,41
2020-02-02,48
2020-02-03,60
2020-02-04,67
2020-02-05,69
2020-02-06,79
2020-02-07,81
2020-02-08,88
2020-02-09,91
2020-02-10,95
2020-02-11,106
2020-02-12,112
2020-02-13,119
2020-02-14,120
2020-02-15,122
2020-02-16,124
2020-02-17,125
2020-02-18,128
2020-02-19,130
2020-02-20,131
2020-02-21,132
2020-02-22,135
2020-02-23,135
2020-02-24,135
2020-02-25,135
2020-02-26,135
2020-02-27,136
2020-02-28,136
2020-02-29,136
2020-03-01,136
2020-03-02,136
2020-03-03,136
2020-03-04,136
2020-03-05,136
2020-03-06,136
2020-03-07,136
2020-03-08,136
2020-03-09,136
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,5
2020-01-28,10
2020-01-29,13
2020-01-30,14
2020-01-31,17
2020-02-01,18
2020-02-02,21
2020-02-03,24
2020-02-04,29
2020-02-05,32
2020-02-06,36
2020-02-07,39
2020-02-08,42
2020-02-09,45
2020-02-10,49
2020-02-11,55
2020-02-12,59
2020-02-13,63
2020-02-14,65
2020-02-15,70
2020-02-16,71
2020-02-17,75
2020-02-18,76
2020-02-19,76
2020-02-20,76
2020-02-21,76
2020-02-22,76
2020-02-23,76
2020-02-24,76
2020-02-25,76
2020-02-26,76
2020-02-27,76
2020-02-28,76
2020-02-29,76
2020-03-01,76
2020-03-02,76
2020-03-03,76
2020-03-04,76
2020-03-05,76
2020-03-06,76
2020-03-07,76
2020-03-08,76
2020-03-09,76
2020-01-22,1
2020-01-23,2
2020-01-24,5
2020-01-25,11
2020-01-26,16
2020-01-27,26
2020-01-28,44
2020-01-29,55
2020-01-30,70
2020-01-31,83
2020-02-01,93
2020-02-02,105
2020-02-03,117
2020-02-04,122
2020-02-05,128
2020-02-06,133
2020-02-07,138
2020-02-08,138
2020-02-09,141
2020-02-10,149
2020-02-11,153
2020-02-12,154
2020-02-13,156
2020-02-14,162
2020-02-15,168
2020-02-16,171
2020-02-17,171
2020-02-18,172
2020-02-19,172
2020-02-20,174
2020-02-21,174
2020-02-22,174
2020-02-23,174
2020-02-24,174
2020-02-25,174
2020-02-26,174
2020-02-27,174
2020-02-28,174
2020-02-29,174
2020-03-01,174
2020-03-02,174
2020-03-03,174
2020-03-04,174
2020-03-05,174
2020-03-06,174
2020-03-07,174
2020-03-08,174
2020-03-09,174
2020-01-22,10
2020-01-23,27
2020-01-24,43
2020-01-25,62
2020-01-26,104
2020-01-27,128
2020-01-28,173
2020-01-29,296
2020-01-30,428
2020-01-31,538
2020-02-01,599
2020-02-02,661
2020-02-03,724
2020-02-04,829
2020-02-05,895
2020-02-06,954
2020-02-07,1006
2020-02-08,1048
2020-02-09,1075
2020-02-10,1092
2020-02-11,1117
2020-02-12,1131
2020-02-13,1145
2020-02-14,1155
2020-02-15,1162
2020-02-16,1167
2020-02-17,1171
2020-02-18,1172
2020-02-19,1174
2020-02-20,1175
2020-02-21,1203
2020-02-22,1205
2020-02-23,1205
2020-02-24,1205
2020-02-25,1205
2020-02-26,1205
2020-02-27,1205
2020-02-28,1205
2020-02-29,1205
2020-03-01,1205
2020-03-02,1206
2020-03-03,1213
2020-03-04,1213
2020-03-05,1215
2020-03-06,1215
2020-03-07,1215
2020-03-08,1215
2020-03-09,1215